BRumble,BGangplank,BVarus,BThresh,BGragas,RBard,RXayah,RTrundle,RNunu,RCaitlyn
BLucian,BJanna,BTwisted Fate,BZac,BNasus,RXayah,RElise,RIrelia,RNami,RJinx
BZac,BXayah,BAnivia,BGragas,BDraven,RZed,RRumble,RMaokai,RCaitlyn,RSona
BLucian,BTeemo,BTaliyah,BZac,BVel'Koz,RThresh,RNocturne,RAhri,RJayce,RJhin
BTwitch,BTryndamere,BZac,BSyndra,BKarma,RLulu,RDarius,RJinx,RMaokai,RXayah
BIvern,BCaitlyn,BGalio,BBraum,BKassadin,RXayah,REzreal,RRumble,RSion,RRengar
BRiven,BCaitlyn,BAurelion Sol,BRengar,BZyra,RPantheon,RRek'Sai,RXayah,RKarma,RVladimir
BNidalee,BRumble,BCaitlyn,BBraum,BYasuo,RKassadin,RKha'Zix,RVarus,RGalio,RTaliyah
BNunu,BTaliyah,BThresh,BCaitlyn,BKennen,RDarius,RXayah,RLee Sin,RRakan,RXerath
BAurelion Sol,BRakan,BCaitlyn,BJax,BLee Sin,RElise,RTaliyah,RJanna,RLucian,RGangplank
BXayah,BLeona,BLee Sin,BLucian,BDarius,RMorgana,RTeemo,RShaco,RCaitlyn,RKassadin
BRumble,BFiora,BDraven,BThresh,BXayah,RZilean,RPoppy,REkko,RKha'Zix,RJhin
BOrianna,BEzreal,BRenekton,BGraves,BThresh,RFiora,RMaokai,RSejuani,RXayah,RTaliyah
BKennen,BEzreal,BBraum,BElise,BXayah,RRakan,RRammus,RCaitlyn,RAnnie,RDarius
BLulu,BGalio,BEzreal,BYasuo,BGraves,RElise,RCaitlyn,RBrand,ROrianna,RKled
BAkali,BGraves,BVarus,BAnivia,BXayah,RKassadin,RBard,RKalista,ROlaf,RTwitch
BIrelia,BXayah,BNidalee,BDraven,BTaliyah,RKassadin,RKarma,REzreal,RKha'Zix,RJax
BThresh,BDraven,BGraves,BKassadin,BZed,RJayce,RLucian,RSyndra,RBard,RTaliyah
BWarwick,BXayah,BJayce,BMorgana,BAshe,RRumble,RTwitch,RYasuo,RSejuani,RAlistar
BZed,BBard,BBraum,BCaitlyn,BCho'Gath,RCamille,RElise,RXayah,RThresh,RDraven
BJanna,BXayah,BElise,BLucian,BYasuo,RFiora,RHecarim,RAnivia,RTwitch,RThresh
BViktor,BJax,BNami,BTwitch,BEvelynn,REzreal,RJanna,RJayce,RKha'Zix,RLeBlanc
BRumble,BKarma,BCaitlyn,BZed,BOlaf,REkko,RJhin,RBrand,RIvern,RFiora
BJayce,BLee Sin,BCaitlyn,BNami,BCassiopeia,RKassadin,RVarus,RThresh,RKennen,RKha'Zix
BAlistar,BGalio,BYasuo,BZiggs,BKha'Zix,REzreal,RGraves,RThresh,RCassiopeia,RKennen
BCaitlyn,BJanna,BJayce,BLee Sin,BKennen,ROrianna,RYasuo,RZiggs,RKarma,RKha'Zix
BJax,BShaco,BLux,BLucian,BSejuani,RElise,RLeBlanc,RKennen,RKarma,RCaitlyn
BRakan,BJarvan IV,BIvern,BZiggs,BKennen,ROrianna,RBraum,RCaitlyn,RShen,RLee Sin
BGalio,BCaitlyn,BKha'Zix,BThresh,BOrianna,RKarma,RVarus,RJarvan IV,RZac,RGragas
BJanna,BAhri,BSwain,BCaitlyn,BJarvan IV,ROrianna,RKha'Zix,RGalio,RVarus,RZyra
BLulu,BDarius,BEkko,BWarwick,BCaitlyn,RTaliyah,RThresh,RLucian,RYasuo,RLee Sin
BKled,BElise,BEkko,BLucian,BLulu,RHecarim,RDraven,RThresh,RAatrox,RCassiopeia
BTwisted Fate,BVayne,BBrand,BGragas,BLee Sin,RFizz,RThresh,RRek'Sai,RJayce,RLucian
BLucian,BXin Zhao,BThresh,BTwisted Fate,BRumble,RLee Sin,RCaitlyn,RLulu,RAhri,ROlaf
BAhri,BNunu,BLucian,BShen,BLulu,RKassadin,RXayah,RRakan,RRiven,RGaren
BSyndra,BFiora,BXayah,BRakan,BJarvan IV,RTwitch,RZac,RRiven,RLucian,RBrand
BYasuo,BAlistar,BElise,BKled,BCaitlyn,RXayah,RRakan,RDiana,RRenekton,RLee Sin
BFiora,BGragas,BXayah,BThresh,BAurelion Sol,RTaliyah,RSinged,RKarma,RGraves,RCaitlyn
BBlitzcrank,BLucian,BZac,BJayce,BKarthus,RThresh,RTaliyah,RPantheon,RRumble,RAshe
BRengar,BFiora,BBlitzcrank,BLucian,BZiggs,RAhri,RTaliyah,RXayah,RJayce,RLee Sin
BKennen,BSyndra,BLee Sin,BBlitzcrank,BLucian,RJarvan IV,RZiggs,RMaokai,RFizz,RFiora
BLee Sin,BAhri,BCaitlyn,BAnivia,BKarma,RTwitch,RVladimir,RCamille,RBard,RWarwick
BSyndra,BNunu,BRakan,BJayce,BTwitch,RJanna,RLucian,REkko,RKha'Zix,RFiora
BAkali,BZac,BJanna,BJhin,BCho'Gath,RSona,RKog'Maw,RKassadin,RIllaoi,RElise
BKha'Zix,BKarma,BJayce,BCassiopeia,BZiggs,RKassadin,RJarvan IV,RVeigar,RCaitlyn,RLee Sin
BZed,BThresh,BLucian,BCamille,BWarwick,RFizz,RTahm Kench,RGraves,RMaokai,RZiggs
BYasuo,BKarma,BLeBlanc,BRumble,BGraves,RCassiopeia,RKennen,RXayah,RThresh,RVi
BZyra,BKha'Zix,BTaliyah,BJhin,BKennen,RSwain,ROrianna,RCaitlyn,RVi,RKarma
BKarma,BNidalee,BCaitlyn,BEkko,BWarwick,RGraves,RLucian,RCamille,RBraum,RMalzahar
BKennen,BTalon,BDraven,BMorgana,BElise,RCaitlyn,RCamille,REvelynn,RAlistar,ROrianna
BCaitlyn,BShen,BKarma,BElise,BAhri,RIvern,RDraven,RThresh,RYasuo,REkko
BLucian,BThresh,BAmumu,BEkko,BKarma,RZac,RBlitzcrank,RPantheon,RAhri,RTwitch
BKennen,BEkko,BThresh,BGragas,BLucian,RElise,RSwain,RBard,RTalon,RTwitch
